antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'kaca'}),frozenset({'25'}),0.029805461359985724,0.009994645725504195,0.007139032661074424,0.2395209580838323,23.964927288280577,0.0068411376340961625,1.301818064282211,0.9877115526122148
frozenset({'25'}),frozenset({'kaca'}),0.009994645725504195,0.029805461359985724,0.007139032661074424,0.7142857142857142,23.964927288280577,0.0068411376340961625,3.395680885240049,0.9679466378222463
frozenset({'kaca'}),frozenset({'20'}),0.029805461359985724,0.006246653578440122,0.006246653578440122,0.2095808383233533,33.550898203592816,0.006060469186578708,1.257248551912125,1.0
frozenset({'20'}),frozenset({'kaca'}),0.006246653578440122,0.029805461359985724,0.006246653578440122,1.0,33.550898203592816,0.006060469186578708,inf,0.9762931034482758
frozenset({'10'}),frozenset({'cm'}),0.003926467963590933,0.029448509726932002,0.0037479921470640726,0.9545454545454546,32.41404958677686,0.003632363517045778,21.352132786007516,0.9729695139119974
frozenset({'renz'}),frozenset({'cm'}),0.012850258789933964,0.029448509726932002,0.006068177761913261,0.47222222222222227,16.035521885521888,0.005689756790944297,1.8389396657805501,0.9498441936890467
frozenset({'cm'}),frozenset({'renz'}),0.029448509726932002,0.012850258789933964,0.006068177761913261,0.20606060606060606,16.035521885521884,0.005689756790944297,1.2433565442722205,0.9660883110139974
frozenset({'cm'}),frozenset({'25'}),0.029448509726932002,0.009994645725504195,0.008031411743708727,0.2727272727272727,27.28733766233766,0.007737084321843978,1.3612573621274315,0.9925830574966287
frozenset({'25'}),frozenset({'cm'}),0.009994645725504195,0.029448509726932002,0.008031411743708727,0.8035714285714285,27.28733766233766,0.007737084321843978,4.940989405026526,0.9730785409530679
frozenset({'cm'}),frozenset({'20'}),0.029448509726932002,0.006246653578440122,0.006246653578440122,0.21212121212121213,33.95757575757575,0.006062698939774653,1.2613023243042876,1.0
frozenset({'20'}),frozenset({'cm'}),0.006246653578440122,0.029448509726932002,0.006246653578440122,1.0,33.95757575757575,0.006062698939774653,inf,0.9766522988505747
frozenset({'18'}),frozenset({'cm'}),0.004461895413171516,0.029448509726932002,0.004461895413171516,1.0,33.95757575757575,0.004330499242696181,inf,0.9749013983506634
frozenset({'cm'}),frozenset({'18'}),0.029448509726932002,0.004461895413171516,0.004461895413171516,0.15151515151515152,33.95757575757575,0.004330499242696181,1.1733127661201908,1.0
frozenset({'cm'}),frozenset({'Needle'}),0.029448509726932002,0.00874531500981617,0.006068177761913261,0.20606060606060606,23.562399505256646,0.005810641267781605,1.248526893308247,0.9866138069792095
frozenset({'Needle'}),frozenset({'cm'}),0.00874531500981617,0.029448509726932002,0.006068177761913261,0.6938775510204082,23.562399505256646,0.005810641267781605,3.1704682015586885,0.9660075409349912
frozenset({'cm'}),frozenset({'holder'}),0.029448509726932002,0.00874531500981617,0.006068177761913261,0.20606060606060606,23.562399505256646,0.005810641267781605,1.248526893308247,0.9866138069792095
frozenset({'holder'}),frozenset({'cm'}),0.00874531500981617,0.029448509726932002,0.006068177761913261,0.6938775510204082,23.562399505256646,0.005810641267781605,3.1704682015586885,0.9660075409349912
frozenset({'14'}),frozenset({'cm'}),0.005175798679278957,0.029448509726932002,0.004997322862752097,0.9655172413793105,32.786624869383495,0.004844903305000709,28.145993217919095,0.9745438002972987
frozenset({'cm'}),frozenset({'14'}),0.029448509726932002,0.005175798679278957,0.004997322862752097,0.1696969696969697,32.786624869383495,0.004844903305000709,1.1981459358972186,0.9989163558030789
frozenset({'Alkohol'}),frozenset({'swabs'}),0.03640906657147956,0.005532750312332679,0.005532750312332679,0.1519607843137255,27.465686274509807,0.0053313080378875844,1.1726665834467291,1.0
frozenset({'swabs'}),frozenset({'Alkohol'}),0.005532750312332679,0.03640906657147956,0.005532750312332679,1.0,27.465686274509807,0.0053313080378875844,inf,0.9689519023689879
frozenset({'Alkohol'}),frozenset({'onemed'}),0.03640906657147956,0.04568980903087631,0.005532750312332679,0.1519607843137255,3.3259229473039222,0.0038692270136893156,1.1253137512005853,0.7257556656250561
frozenset({'96%'}),frozenset({'Alkohol'}),0.011957879707299661,0.03640906657147956,0.011957879707299661,1.0,27.465686274509807,0.011522504468982843,inf,0.9752528901734104
frozenset({'Alkohol'}),frozenset({'96%'}),0.03640906657147956,0.011957879707299661,0.011957879707299661,0.3284313725490196,27.465686274509803,0.011522504468982843,1.4712452010197872,1.0
frozenset({'1liter'}),frozenset({'Alkohol'}),0.03159021952525433,0.03640906657147956,0.027842227378190254,0.8813559322033898,24.20704553007644,0.026692056972487617,8.1216950103261,0.989962856899827
frozenset({'Alkohol'}),frozenset({'1liter'}),0.03640906657147956,0.03159021952525433,0.027842227378190254,0.7647058823529412,24.20704553007644,0.026692056972487617,4.11574156701767,0.9949135879863793
frozenset({'Alkohol'}),frozenset({'70%'}),0.03640906657147956,0.015884347670890593,0.015884347670890593,0.4362745098039216,27.465686274509807,0.015306013399096612,1.7457355919577244,1.0000000000000002
frozenset({'70%'}),frozenset({'Alkohol'}),0.015884347670890593,0.03640906657147956,0.015884347670890593,1.0,27.465686274509807,0.015306013399096612,inf,0.9791439970982954
frozenset({'swabs'}),frozenset({'onemed'}),0.005532750312332679,0.04568980903087631,0.005532750312332679,1.0,21.88671875,0.0052799600071466776,inf,0.9596195262024407
frozenset({'onemed'}),frozenset({'Pispot'}),0.04568980903087631,0.013385686239514546,0.00856683919328931,0.18750000000000003,14.007500000000002,0.007955249745258661,1.2142945400129053,0.9730690106601833
frozenset({'Pispot'}),frozenset({'onemed'}),0.013385686239514546,0.04568980903087631,0.00856683919328931,0.64,14.007500000000002,0.007955249745258661,2.6508616415808994,0.9412083936324167
frozenset({'bab'}),frozenset({'onemed'}),0.0058897019453864,0.04568980903087631,0.0048188470462252365,0.8181818181818182,17.907315340909093,0.004549747689091751,5.248706050330182,0.9497506483143826
frozenset({'stickpad'}),frozenset({'onemed'}),0.0048188470462252365,0.04568980903087631,0.0048188470462252365,1.0,21.88671875,0.004598674844934203,inf,0.9589311334289813
frozenset({'laki'}),frozenset({'onemed'}),0.0037479921470640726,0.04568980903087631,0.0037479921470640726,1.0,21.88671875,0.003576747101615491,inf,0.95790039412397
frozenset({'tutup'}),frozenset({'onemed'}),0.0037479921470640726,0.04568980903087631,0.0037479921470640726,1.0,21.88671875,0.003576747101615491,inf,0.95790039412397
frozenset({'spatel'}),frozenset({'onemed'}),0.005175798679278957,0.04568980903087631,0.004283419596644655,0.8275862068965518,18.113146551724142,0.004046938343406138,5.534999107620921,0.9497069728501376
frozenset({'U-klem'}),frozenset({'onemed'}),0.006603605211493843,0.04568980903087631,0.003569516330537212,0.5405405405405406,11.830658783783786,0.003267798869508759,2.077028062697505,0.9215594681997845
frozenset({'nebulizer'}),frozenset({'onemed'}),0.005354274495805818,0.04568980903087631,0.0033910405140103518,0.6333333333333334,13.86158854166667,0.0031464047347980924,2.60266415718852,0.9328529470095479
frozenset({'chart'}),frozenset({'Snellen'}),0.024808138497233626,0.024808138497233626,0.024808138497233626,1.0,40.30935251798561,0.0241926947615357,inf,1.0
frozenset({'Snellen'}),frozenset({'chart'}),0.024808138497233626,0.024808138497233626,0.024808138497233626,1.0,40.30935251798561,0.0241926947615357,inf,1.0
frozenset({'bab'}),frozenset({'Pispot'}),0.0058897019453864,0.013385686239514546,0.0058897019453864,1.0,74.70666666666666,0.0058108642431011995,inf,0.99245960502693
frozenset({'Pispot'}),frozenset({'bab'}),0.013385686239514546,0.0058897019453864,0.0058897019453864,0.44,74.70666666666666,0.0058108642431011995,1.7751969608118099,1.0
frozenset({'stickpad'}),frozenset({'Pispot'}),0.0048188470462252365,0.013385686239514546,0.0048188470462252365,1.0,74.70666666666666,0.004754343471628254,inf,0.9913916786226685
frozenset({'Pispot'}),frozenset({'stickpad'}),0.013385686239514546,0.0048188470462252365,0.0048188470462252365,0.36,74.70666666666666,0.004754343471628254,1.554970551490273,1.0
frozenset({'Pispot'}),frozenset({'laki'}),0.013385686239514546,0.0037479921470640726,0.0037479921470640726,0.27999999999999997,74.70666666666666,0.0036978227001553086,1.3836833442401888,1.0
frozenset({'laki'}),frozenset({'Pispot'}),0.0037479921470640726,0.013385686239514546,0.0037479921470640726,1.0,74.70666666666666,0.0036978227001553086,inf,0.9903260480114655
frozenset({'Pispot'}),frozenset({'tutup'}),0.013385686239514546,0.0037479921470640726,0.0037479921470640726,0.27999999999999997,74.70666666666666,0.0036978227001553086,1.3836833442401888,1.0
frozenset({'tutup'}),frozenset({'Pispot'}),0.0037479921470640726,0.013385686239514546,0.0037479921470640726,1.0,74.70666666666666,0.0036978227001553086,inf,0.9903260480114655
frozenset({'bab'}),frozenset({'stickpad'}),0.0058897019453864,0.0048188470462252365,0.0048188470462252365,0.8181818181818182,169.78787878787878,0.004790465473402564,5.473496341245762,1.0
frozenset({'stickpad'}),frozenset({'bab'}),0.0048188470462252365,0.0058897019453864,0.0048188470462252365,1.0,169.78787878787878,0.004790465473402564,inf,0.9989239598278336
frozenset({'1liter'}),frozenset({'96%'}),0.03159021952525433,0.011957879707299661,0.011957879707299661,0.3785310734463277,31.65536723163842,0.011580127662289481,1.5898495935618904,1.0
frozenset({'96%'}),frozenset({'1liter'}),0.011957879707299661,0.03159021952525433,0.011957879707299661,1.0,31.65536723163842,0.011580127662289481,inf,0.9801300578034683
frozenset({'1liter'}),frozenset({'70%'}),0.03159021952525433,0.015884347670890593,0.015884347670890593,0.5028248587570621,31.655367231638415,0.015382557640951698,1.9794144370710491,1.0
frozenset({'70%'}),frozenset({'1liter'}),0.015884347670890593,0.03159021952525433,0.015884347670890593,1.0,31.65536723163842,0.015382557640951698,inf,0.9840406238665218
